,words,count
780,malice,7
781,trail,7
782,machine,7
783,plain,7
784,scribble,7
785,strengthens,7
786,company,7
787,grew,7
788,drop,7
789,ear,7
790,crust,7
791,misery,7
792,wet,7
793,third,7
794,promised,7
795,pine,7
796,bright,7
797,ember,7
798,building,7
799,destroys,7
800,swim,7
801,thunder,7
802,turned,7
803,woe,7
804,mouth,7
805,bride,7
806,tied,7
807,gold,7
808,bloom,7
809,called,7
810,suffered,7
811,fight,7
812,shame,7
813,seven,7
814,twisted,7
815,eagle,7
816,karaorman,7
817,slavej,7
818,personal,7
819,wedding,7
820,infinity,7
821,pebble,7
822,sit,7
823,corner,7
824,cheerful,7
825,gilded,7
826,glowing,7
827,crucified,7
828,known,7
829,chase,7
830,ask,7
831,struga,7
832,cruel,7
833,noon,7
834,skopje,7
835,deserted,7
836,turtledove,7
837,sister,7
838,cost,7
839,past,7
840,slaughtered,7
841,happens,7
842,since,7
843,plow,7
844,opaque,7
845,demand,7
846,pure,7
847,bark,7
848,collection,7
849,surrender,7
850,chill,7
851,sends,7
852,uncertainty,7
853,premonition,7
854,trough,7
855,frame,7
856,shiver,7
857,ant,7
858,seemed,7
859,abruptly,7
860,inside,7
861,candle,7
862,hurry,7
863,source,7
864,temple,7
865,march,7
866,whirlpool,7
867,large,7
868,wash,7
869,imagine,7
870,fortress,7
871,eager,6
872,welcome,6
873,forget,6
874,scared,6
875,threw,6
876,filthy,6
877,start,6
878,muscle,6
879,darkened,6
880,shot,6
881,straighten,6
882,stretch,6
883,slept,6
884,rolling,6
885,christmas,6
886,faded,6
887,inaudible,6
888,endure,6
889,drum,6
890,fold,6
891,slow,6
892,tight,6
893,started,6
894,hit,6
895,murky,6
896,grandfather,6
897,straight,6
898,cursed,6
899,idea,6
900,burned,6
901,sounded,6
902,macedonian,6
903,wear,6
904,threshold,6
905,standing,6
906,behold,6
907,mud,6
908,melt,6
909,swing,6
910,grows,6
911,furrow,6
912,winged,6
913,taken,6
914,freeze,6
915,meadow,6
916,hugged,6
917,play,6
918,strain,6
919,descends,6
920,loudly,6
921,wander,6
922,wounded,6
923,restlessness,6
924,sunny,6
925,alley,6
926,current,6
927,met,6
928,bitterly,6
929,satisfied,6
930,twist,6
931,rebuke,6
932,stranger,6
933,following,6
934,despised,6
935,awake,6
